id,name
118,Material (including yard goods and yarn)
119,Wigs (including hairpieces) under $100
120,Bathroom Scales
121,"Garden Equipment - (wheelbarrows, roller, etc.)"
122,"Furniture (particle board - work benches, plastic, wicker, rattan, & patio)"
123,Wedding Gowns
124,"Drapery and Curtain Rods, Venetian Blinds"
125,Electric Blankets
126,Wigs (including hairpieces) $100 - $250
127,Drapes
128,Garden Equipment - Power Lawnmowers
129,Hampers - Wicker or Plastic
130,TV Trays
131,Rugs - over $500 - $999
132,Barbeque Grills
133,Boating Equiment & supplies
134,"Food items (jams, jellys, candy, etc.)"
135,"Knives (pocket, leatherman, swiss army, etc)"
136,Computer peripherals
137,"Cell Phones (smartphone type-blackberry, iphone, etc)"
138,Sunglasses
139,Stenotype Machines
140,Cosmetics & Grooming
141,Cameras
142,Clothing
143,Travel Accessories
144,Computer & Accessories
145,Baggage/Cases/Purses
146,Personal Accessories
147,Jewelry & Watches
148,Food & Drink
149,Home Decor
150,Office Equipment & Supplies
151,Toys & Games
152,Personal Electronics
153,"Books, Magazines & Other"
154,Household Items
155,Audio/Video
156,Crafting & Hobby
157,Musical Instruments & Accessories
158,Medical/Science
159,Automobile Parts & Accessories
160,Hunting & Fishing Items
161,Outdoor Items
162,Personal Navigation
163,Personal Documents
164,Incidentals
165,Accessories
166,Personal Injury
167,Supplies
168,Grooming
169,Science
170,Purses
171,Fishing Items
172,Outdoor
173,Personal Grooming
